,noise_proportion_corrected(beta),mean,std
0,10.0%,0.0856236040762245,0.08810697746218761
1,100.0%,0.3700674152785389,0.27072292672596476
2,20.0%,0.1599491731044143,0.14880011432120324
3,30.0%,0.21976820618624632,0.19579783627277916
4,40.0%,0.262403905071166,0.22848662179629836
5,50.0%,0.2904039742030293,0.24783966436772986
6,60.0%,0.3114787858632852,0.2599673042533497
7,70.0%,0.3278516526148628,0.26627301597592257
8,80.0%,0.34051477949483083,0.2705664866329586
9,90.0%,0.3527237762277197,0.2718752553070622
